Year,CPI,CPI_SA
1990.04,180,182.6360811
1990.05,182,184.2457725
1990.06,185,185.3248186
1990.07,189,187.187054
1990.08,190,188.3487577
1990.09,191,188.6494414
1990.1,195,192.6681402
1990.11,198,195.7507107
1990.12,199,198.5712968
1991.01,202,203.6645679
1991.02,202,203.559554
1991.03,201,203.6166329
1991.04,202,204.9070206
1991.05,204,206.484682
1991.06,209,209.3172776
1991.07,214,212.0105619
1991.08,217,215.0634887
1991.09,221,218.2632356
1991.1,223,220.3033124
1991.11,225,222.400929
1991.12,225,224.6097072
1992.01,228,229.9718498
1992.02,229,230.9028
1992.03,229,231.9993903
1992.04,231,234.2499526
1992.05,234,236.7465093
1992.06,236,236.2303296
1992.07,242,239.8380838
1992.08,242,239.7231643
1992.09,243,239.9857595
1992.1,244,240.9883648
1992.11,244,241.0932113
1992.12,243,242.7581751
1993.01,241,243.2574768
1993.02,242,244.282709
1993.03,243,246.2167688
1993.04,245,248.3098666
1993.05,246,248.6422173
1993.06,250,250.1120883
1993.07,253,250.7952401
1993.08,256,253.4396112
1993.09,259,255.878597
1993.1,262,258.79109
1993.11,265,261.8104
1993.12,264,263.8377056
1994.01,263,265.5352349
1994.02,265,267.8334396
1994.03,267,270.5348396
1994.04,269,272.3275883
1994.05,272,274.7154739
1994.06,277,277.0615403
1994.07,281,278.6994756
1994.08,284,281.0794214
1994.09,288,284.7282722
1994.1,289,285.547248
1994.11,291,287.3792589
1994.12,289,288.8002154
1995.01,289,291.671384
1995.02,291,294.3423427
1995.03,293,296.8501482
1995.04,295,298.3930534
1995.05,300,302.9029116
1995.06,306,306.182302
1995.07,313,310.534162
1995.08,315,311.9271458
1995.09,317,313.7883541
1995.1,319,315.1119542
1995.11,321,316.8512655
1995.12,317,316.4744936
1996.01,315,317.5660202
1996.02,316,319.7381431
1996.03,319,323.1828779
1996.04,324,327.6035301
1996.05,328,331.1764726
1996.06,333,333.477598
1996.07,339,336.5263846
1996.08,343,340.0572849
1996.09,344,340.9588565
1996.1,346,341.4388247
1996.11,349,344.1406667
1996.12,350,349.1311993
1997.01,350,352.4318895
1997.02,350,354.1895262
1997.03,351,355.6427738
1997.04,354,357.8937617
1997.05,352,355.3599268
1997.06,355,355.841338
1997.07,358,355.529919
1997.08,359,356.4629927
1997.09,361,358.2865212
1997.1,365,359.676943
1997.11,366,360.6476082
1997.12,372,370.7724239
1998.01,384,386.2755082
1998.02,382,386.7069179
1998.03,380,385.0649117
1998.04,383,387.0925828
1998.05,389,392.5850439
1998.06,399,400.1218045
1998.07,411,408.3500042
1998.08,413,410.6189085
1998.09,420,417.3005184
1998.1,433,426.2343056
1998.11,438,431.3634004
1998.12,429,427.5754804
1999.01,420,422.2830264
1999.02,415,420.2229072
1999.03,414,419.4095953
1999.04,415,419.3826037
1999.05,419,422.624494
1999.06,420,421.0834498
1999.07,424,421.2622105
1999.08,426,423.8473129
1999.09,429,426.5580326
1999.1,437,429.9770357
