Year,WPI series,WPI_SA
1995.01,116.2,116.9851349
1995.02,116.9,117.7801714
1995.03,116.9,118.2498249
1995.04,119.3,119.2520412
1995.05,120.2,120.0817607
1995.06,120.7,120.4183804
1995.07,121.8,120.9469616
1995.08,121.8,121.2592371
1995.09,121.9,121.2583755
1995.1,122.2,121.6712191
1995.11,122.5,122.2230854
1995.12,122.1,122.2880459
1996.01,122,122.8499928
1996.02,122.1,123.0083157
1996.03,122.2,123.5528983
1996.04,123.7,123.6548282
1996.05,124.5,124.3760619
1996.06,125.1,124.7961175
1996.07,127,126.1607314
1996.08,127.8,127.2696957
1996.09,128.1,127.4904791
1996.1,127.8,127.2076861
1996.11,128,127.6513292
1996.12,128.5,128.6987731
1997.01,128.3,129.2413278
1997.02,128.8,129.7509572
1997.03,128.8,130.0728828
1997.04,130.9,130.8495006
1997.05,130.8,130.6833441
1997.06,131.4,131.0616567
1997.07,131.6,130.8439763
1997.08,132,131.5417391
1997.09,132.9,132.3755698
1997.1,133.4,132.7168952
1997.11,133.1,132.6557702
1997.12,133.7,133.8797231
1998.01,134.8,135.8159247
1998.02,134.2,135.1706431
1998.03,134.4,135.5260747
1998.04,136.9,136.8383301
1998.05,138.2,138.1001849
1998.06,139.8,139.4305016
1998.07,140.9,140.2887485
1998.08,140.6,140.2000546
1998.09,140.8,140.3726929
1998.1,142,141.1877349
1998.11,142.6,142.0320889
1998.12,142.1,142.2699742
1999.01,140.9,141.9538056
1999.02,141.4,142.4156155
1999.03,141.6,142.5445251
1999.04,142.4,142.3572096
1999.05,142.8,142.7479151
1999.06,143.3,142.914077
1999.07,143.7,143.2338569
1999.08,144.6,144.235171
1999.09,145.3,144.9747687
1999.1,146.9,146.031861
1999.11,147,146.3492358
1999.12,146.1,146.2758751
2000.01,145.9,146.9695695
2000.02,146.4,147.4278025
2000.03,149.5,150.2657
2000.04,151.7,151.6743942
2000.05,151.8,151.7807458
2000.06,152.7,152.3149324
2000.07,153.1,152.7598973
2000.08,153.4,153.0055445
2000.09,154.7,154.3508077
2000.1,157.9,156.9669221
2000.11,158.2,157.4852167
2000.12,158.5,158.7714428
2001.01,158.6,159.7162857
2001.02,158.6,159.7173266
2001.03,159.1,159.7421672
2001.04,159.9,159.9049906
2001.05,160.3,160.3413807
2001.06,160.8,160.4247034
2001.07,161.1,160.7968873
2001.08,161.7,161.2029925
2001.09,161.7,161.1914115
2001.1,162.5,161.6265823
2001.11,162.3,161.5961057
2001.12,161.8,162.1785087
2002.01,161,162.0819932
2002.02,160.8,161.9557311
2002.03,161.9,162.5450218
2002.04,162.3,162.3153082
2002.05,162.8,162.8862537
2002.06,164.7,164.3459477
2002.07,165.6,165.284279
2002.08,167.1,166.484174
2002.09,167.4,166.6052945
2002.1,167.5,166.6531672
2002.11,167.8,167.1111522
2002.12,167.2,167.6883717
2003.01,167.8,168.9285666
2003.02,169.4,170.7100305
2003.03,171.6,172.4643349
2003.04,173.1,173.1543194
2003.05,173.4,173.5403744
2003.06,173.5,173.0813077
2003.07,173.4,172.9207082
2003.08,173.7,172.8928638
2003.09,175.6,174.4907156
2003.1,176.1,175.2343316
2003.11,176.9,176.2014355
2003.12,176.8,177.4452703
2004.01,178.7,180.0034637
2004.02,179.8,181.3283504
2004.03,179.8,181.012718
2004.04,180.9,180.9606563
2004.05,182.1,182.1965916
